alias,canonical
Abacavir,아바카비르
Abiraterone,아비라테론
Acalabrutinib,아칼라브루티닙
Aceclofenac,아세클로페낙
Acemetacin,아세메타신
Acetazolamide,아세타졸아미드
Acitretin,아시트레틴
Adefovir dipivoxil,아데포비어디피복실
Agalsidase α,아갈시다제알파
Agomelatine,아고멜라틴
Alendronate,알렌드론산
Alfacalcidol,알파칼시돌
Alfentanil,알펜타닐
Alfuzosin,알푸조신
Alitretinoin,알리트레티노인
Almotriptan,알모트립탄
Alprazolam,알프라졸람
Alteplase,알테플라제
Altretamine,알트레타민
Amantadine,아만타딘
Amiloride,아미로라이드
Aminocaproic Acid,아미노카프론산
Amiodarone,아미오다론
Amisulpride,아미설프리드
Amitriptyline,아미트리프틸린
Amoxapine,아목사핀
Amrinone,암리논
Anagrelide,아나그렐리드
Anastrozole,아나스트로졸
Apalutamide,아팔루타마이드
Apixaban,아픽사반
Apraclonidine,아프라클로니딘
Arsenic trioxide,삼산화비소
Articaine,아티카인
Asunaprevir,아수나프레비르
Atazanavir,아타자나비르
Atomoxetine,아토목세틴
Atorvastatin,아토르바스타틴
Atropine,아트로핀
Auranofin,오라노핀
Avanafil,아바나필
Azathioprine,아자티오프린
Azithromycin,아지트로마이신
Bedaquiline,베다퀼린
Benserazide,벤세라지드
Bepridil,베프리딜
Bicalutamide,비칼루타미드
Bictegravir,빅테그라비르
Blonanserin,블로난세린
Boceprevir,보세프레비르
Bosentan,보센탄
Bosutinib,보수티닙
Brigatinib,브리가티닙
Brimonidine,브리모니딘
Bromocriptine,브로모크립틴
Bromperidol,브롬페리돌
Buprenorpine,부프레노르핀
Bupropion Hydrochloride,부프로피온염산염
Burosumab,부로수맙
Buspirone,부스피론
Cabotegravir,카보테그라비르
Cabozantinib,카보잔티닙
Calcifediol,칼시페디올
Calcitriol,칼시트리올
Calcium Gluconate,글루콘산칼슘
Calcium chloride,염화칼슘
Capecitabine,카페시타빈
Capivasertib,카피바설팁
Carbamazepine,카르바마제핀
Celecoxib,세레콕시브
Ceritinib,세리티닙
Chloramphenicol,클로람페니콜
Chlorpromazine,클로르프로마진
Chlorprothixene,클로르프로틱센
Chlorthalidone,클로르탈리돈
Citalopram,시탈로프람
Clenbuterol,클렌부테롤
Clindamycin,클린다마이신
Clomipramine,클로미프라민
Clonidine,클로니딘
Clonixin,클로닉신
Cobicistat,코비시스타트
Colchicine,콜키신
Crizotinib,크리조티닙
Cyclobenzaprine,시클로벤자프린
Cyclosporine,사이클로스포린
Cyproheptadine,시프로헵타딘
Cyproterone,시프로테론
D-Mannitol,D-만니톨
Dabigatran etexilate,다비가트란에텍실레이트
Dabrafenib,다브라페닙
Daclatasvir,다클라타스비르
Dapoxetine,다폭세틴
Darunavir,다루나비르
Dasabuvir,다사부비르
Defibrotide,데피브로타이드
Degarelix,데가렐릭스
Delamanid,델라마니드
Desogestrel,데소게스트렐
Desvenlafaxine,데스벤라팍신
Deutetrabenazine,듀테트라베나진
Dexamethasone,덱사메타손
Dexbrompheniramine,덱스브롬페니라민
Dexibuprofen,덱시부프로펜
Dexketoprofen,덱스케토프로펜
Dexlansoprazole,덱스란소프라졸
Dextromethorphan,덱스트로메토르판
Diclofenac,디클로페낙
Diethylpropion,디에틸프로피온
Diflunisal,디플루니살
Digoxin,디곡신
Dihydroergotamine,디히드로에르고타민
Diltiazem,딜티아젬
Dipyridamole,디피리다몰
Divalproex,디발프로엑스
Dobutamine,도부타민
Dolasetron,돌라세트론
Dolutegravir,돌루테그라비르
Domperidone,돔페리돈
Doravirine,도라비린
Doripenem,도리페넴
Dothiepin,도티에핀
Doxazosin,독사조신
Doxepin,독세핀
Doxifluridine,독시플루리딘
Dronedarone,드로네다론
Drospirenone,드로스피레논
Duloxetine,둘록세틴
Ebastine,에바스틴
Edetate Calcium Disodium(Calcium EDTA),에데트산칼슘나트륨
Edoxaban,에독사반
Efavirenz,에파비렌즈
Elbasvir,엘바스비르
Eliglustat,엘리글루스타트
Emtricitabine,엠트리시타빈
Entrectinib,엔트렉티닙
Enzalutamide,엔잘루타마이드
Ephedrine,에페드린
Epinephrine,에피네프린
Ergotamine,에르고타민
Erythromycin,에리트로마이신
Eslicarbazepine acetate,에슬리카르바제핀아세테이트
Esomeprazole,에스오메프라졸
Estrogens,에스트로겐
Ethinyl estradiol,에티닐에스트라디올
Etodolac,에토돌락
Etofenamate,에토페나메이트
Etonogestrel,에토노게스트렐
Etoricoxib,에토리콕시브
Etravirine,에트라비린
Everolimus,에베로리무스
Ezetimibe,에제티미브
Febuxostat,페북소스타트
Fedratinib,페드라티닙
Felodipine,펠로디핀
Fenoprofen,페노프로펜
Fenoterol,페노테롤
Fentanyl,펜타닐
Fexuprazan,펙수프라잔
Filgotinib,필고티닙
Finerenone,피네레논
Fingolimod,핀골리모드
Flecainide Acetate,플레카이니드아세테이트
Fluconazole,플루코나졸
Flufenamic acid,플루페남산
Fluorouracil,플루오로우라실
Fluoxetine,플루옥세틴
Flurbiprofen,플루르비프로펜
Fluticasone,플루티카손
Fluvastatin,플루바스타틴
Fluvoxamine,플루복사민
Formoterol,포르모테롤
Fosaprepitant Dimeglumine,포스아프레피탄트 디메글루민염
Foscarnet,포스카네트
Fosnetupitant,포스네투피탄트
Fosphenytoin,포스페니토인
Frovatriptan,프로바트립탄
Furosemide,푸로세미드
Fusidic Acid,푸시딘산
Ganciclovir,간시클로버
Gemfibrozil,겜피브로질
Gemifloxacin,제미플록사신
Gentamicin,겐타마이신
Gestodene,게스토덴
Gilteritinib,길테리티닙
Gimeracil,기메라실
Glecaprevir,글레카프레비르
Glibenclamide,글리벤클라미드
Gliclazide,글리클라지드
Glipizide,글리피지드
Granisetron,그라니세트론
Grazoprevir,그라조프레비르
Haloperidol,할로페리돌
Halothane,할로탄
Hemocoagulase,헤모코아귤라제
Hexoprenaline,헥소프레날린
Hydrochlorothiazide,히드로클로로티아지드
Hydrocortisone,히드로코르티손
Hydroxychloroquine,히드록시클로로퀸
Hydroxyzine,히드록시진
Ibrutinib,이브루티닙
Iguratimod,이그라티모드
Ilaprazole,일라프라졸
Imatinib,이매티닙
Imipenem,이미페넴
Imipramine,이미프라민
Indinavir,인디나빌
Indometacin,인도메타신
Iobitridol,이오비트리돌
Iodised Oil,아이오다이즈드오일
Iodixanol,이오딕사놀
Iohexol,이오헥솔
Iomeprol,이오메프롤
Iopamidol,이오파미돌
Iopromide,이오프로마이드
Iotrolan,이오트로란
Ioversol,이오베르솔
Ioxaglic Acid,이옥사글린산
Irinotecan,이리노테칸
Isavuconazonium,이사부코나조늄
Isoniazid,이소니아지드
Isonicotinic acid hydrazide,이소니코틴산히드라짓
Isoproterenol,이소프로테레놀
Isosorbide,이소소르비드
Isotretinoin,이소트레티노인
Isradipine,이스라디핀
Ivabradine,이바브라딘
Ixazomib,익사조밉
Josamycin,조사마이신
Ketoconazole,케토코나졸
Ketoprofen,케토프로펜
Ketorolac,케토롤락
Lamivudine,라미부딘
Lansoprazole,란소프라졸
Ledipasvir,레디파스비르
Lercanidipine,레르카니디핀
Letermovir,레테르모비르
Levodopa,레보도파
Levofloxacin,레보플록사신
Levomepromazine,레보메프로마진
Levonorgestrel,레보노르게스트렐
Lincomycin,린코마이신
Linezolid,리네졸리드
Lithium Carbonate,탄산리튬
Lopinavir,로피나비르
Lorcaserin,로카세린
Lorlatinib,롤라티닙
Lornoxicam,로녹시캄
Lovastatin,로바스타틴
Loxoprofen,록소프로펜
Lurasidone,루라시돈
Maribavir,마리바비르
Mazindol,마진돌
Meclofenamate,메크로페남산
Medroxyprogesterone,메드록시프로게스테론
Mefenamic acid,메페남산
Mefloquine,메플로퀸
Meloxicam,멜록시캄
Melphalan,멜팔란
Menatetrenone,메나테트레논
Mequitazine,메퀴타진
Mercaptopurine,메르캅토푸린
Meropenem,메로페넴
Methacycline,메타사이클린
Methazolamide,메타졸아마이드
Methoxyphenamine,메톡시페나민
Methylergometrine,메틸에르고메트린
Methylphenidate,메틸페니데이트
Methylprednisolone,메틸프레드니솔론
Metoclopramide,메토클로프라미드
Metolazone,메톨라존
Metronidazole,메트로니다졸
Miconazole,미코나졸
Midazolam,미다졸람
Midecamycin,미데카마이신
Midostaurin,미도스타우린
Minocycline,미노사이클린
Mirodenafil,미로데나필
Mirtazapine,미르타자핀
Mitotane,미토테인
Mizolastine,미졸라스틴
Moclobemide,모클로베미드
Modafinil,모다피닐
Molsidomine,몰시도민
Monobasic sodium phosphate,인산수소나트륨무수물
Morphine,모르핀
Moxifloxacin,목시플록사신
Nabumetone,나부메톤
Nafcillin,나프실린
Naftopidil,나프토피딜
Nalidixic Acid,날리딕스산
Naproxen,나프록센
Naratriptan,나라트립탄
Natalizumab,나탈리주맙
Nelfinavir,넬피나비어
Neratinib,네라티닙
Netilmicin,네틸마이신
Netupitant,네투피탄트
Nevirapine,네비라핀
Nicardipine,니카르디핀
Nicorandil,니코란딜
Nifedipine,니페디핀
Nilotinib,닐로티닙
Nimesulide,니메술리드
Nirmatrelvir,니르마트렐비르
Nisoldipine,니솔디핀
Nitroprusside,니트로푸루시드
Norepinephrine,노르에피네프린
Nortriptyline,노르트립틸린
Octreotide,옥트레오티드
Olanzapine,올란자핀
Ombitasvir,옴비타스비르
Omidenepag isopropyl,오미데네팍이소프로필
Ondansetron,온단세트론
Oxapium Iodide,요오드화옥사피움
Oxaprozin,옥사프로진
Oxatomide,옥사토마이드
Oxcarbazepine,옥스카르바제핀
Oxymetazoline,옥시메타졸린
Oxytetracycline,옥시테트라사이클린
Ozanimod,오자니모드
Paliperidone,팔리페리돈
Panipenem,파니페넴
Pantoprazole,판토프라졸
Paricalcitol,파리칼시톨
Paroxetine,파록세틴
Penicillamine,디페니실라민
Pentamidin,펜타미딘
Pentamidine,펜타미딘
Pentoxifylline,펜톡시필린
Perphenazine,페르페나진
Pethidine,페티딘
Phendimetrazine tartrate,펜디메트라진타르타르산염
Phenobarbital,페노바르비탈
Phentermine,펜터민
Phenytoin,페니토인
Pibrentasvir,피브렌타스비르
Pilsicainide,필시카이니드
Pimozide,피모짓
Piroxicam,피록시캄
Pitavastatin,피타바스타틴
Ponatinib,포나티닙
Posaconazole,포사코나졸
Potassium Chloride,염화칼륨
Potassium citrate,시트르산칼륨
Pramipexole,프라미펙솔
Pranoprofen,프라노프로펜
Pravastatin,프라바스타틴
Praziquantel,프라지콴텔
Prednisolone,프레드니솔론
Primidone,프리미돈
Procaterol,프로카테롤
Proglumetacin,프로글루메타신
Propafenone,프로파페논
Prucalopride,프루칼로프라이드
Pseudoephedrine,슈도에페드린
Pyridoxine,피리독신
Quazepam,쿠아제팜
Quetiapine,쿠에티아핀
Quinidine,퀴니딘
Quinupramine,퀴누프라민
Rabeprazole,라베프라졸
Radium 223 dichloride,라듐-223염화물
Radotinib,라도티닙
Ranolazine,라놀라진
Rasagiline,라사길린
Repaglinide,레파글리니드
Revaprazan,레바프라잔
Ribociclib,리보시클립
Rifabutin,리파부틴
Rifampicin,리팜피신
Rilpivirine,릴피비린
Riociguat,리오시구앗
Risperidone,리스페리돈
Ritonavir,리토나비르
Rivaroxaban,리바록사반
Rosuvastatin,로수바스타틴
Roxithromycin,록시트로마이신
S-Pantoprazole,에스판토프라졸
Safinamide,사피나미드
Salbutamol,살부타몰
Salmeterol,살메테롤
Salsalate,살살레이트
Selegiline Hydrochloride,셀레길린염산염
Sertraline,설트랄린
Sibutramine,시부트라민
Silodosin,실로도신
Sirolimus,시롤리무스
Sodium Iodide(131I),요오드화나트륨(131I)
Sofosbuvir,소포스부비르
Sotalol,소타롤
Sparfloxacin,스파플록사신
Spiramycin,스피라마이신
Spironolactone,스피로노락톤
Sulfamethoxazole,설파메톡사졸
Sulindac,설린닥
Sumatriptan,수마트립탄
Tacrolimus,타크로리무스
Tadalafil,타다라필
Tafluprost,타플루프로스트
Tamoxifen,타목시펜
Tamsulosin,탐스로신
Tapentadol,타펜타돌
Tegoprazan,테고프라잔
Telithromycin,텔리트로마이신
Tenecteplase,테넥테플라제
Tenofovir,테노포비르
Tenoxicam,테녹시캄
Terazosin,테라조신
Terbutaline Sulfate,테르부탈린황산염
Tetracycline,테트라사이클린
Thiothixene,티오틱센
Thrombin,트롬빈
Tiaprofenic acid,티아프로펜산
Ticagrelor,티카그렐러
Tigecycline,타이제사이클린
Tizanidine,티자니딘
Tofacitinib,토파시티닙
Tolvaptan,톨밥탄
Topiramate,토피라메이트
Toremifene,토레미펜
Tranexamic Acid,트라넥삼산
Trazodone Hydrochloride,트라조돈염산염
Tretinoin,트레티노인
Triamterene,트리암테렌
Triazolam,트리아졸람
Trifluoperazine,트리플루오페라진
Trometamol,트로메타몰
Tucatinib,투카티닙
Tulobuterol,툴로부테롤
Udenafil,유데나필
Valbenazine,발베나진
Valganciclovir,발간시클로비르
Valproic acid,발프로산
Vandetanib,반데타닙
Vardenafil,바데나필
Vedolizumab,베돌리주맙
Venetoclax,베네토클락스
Venlafaxine,벤라팍신
Verapamil,베라파밀
Vericiguat,베리시구앗
Vonoprazan,보노프라잔
Voriconazole,보리코나졸
Vortioxetine,보티옥세틴
Xylometazoline,키실로메타졸린
Zalcitabine,잘시타빈
Zaltoprofen,잘토프로펜
Zanubrutinib,자누브루티닙
Zastaprazan,자스타프라잔
Zinc histidine,히스티딘아연
Ziprasidone,지프라시돈
Zolmitriptan,졸미트립탄
Zuclopenthixol,주클로펜틱솔
isosorbide dinitrate,이소소르비드이질산염
isosorbide mononitrate,이소소르비드일질산염
nitrous oxide,아산화질소
palbociclib,팔보시클립
selexipag,셀렉시팍
