ingredient_a,ingredient_b,severity,mechanism,advice,min_interval_hours,source
심바스타틴,이트라코나졸,5,횡문근융해증,,,식약처 DUR 병용금기
이트라코나졸,트리아졸람,5,triazolam 의 약리학적 효과 및 작용(수면유도 및 진정작용 등의 중추신경 억제 효과) 증가,,,식약처 DUR 병용금기
셀레길린염산염,파록세틴,5,"세로토닌성 증후군(고혈압, 고열, 간대성 근경련, 정신상태 변화 등)",,,식약처 DUR 병용금기
설트랄린,셀레길린염산염,5,"세로토닌성 증후군 (고열, 간대성근경련, 정신상태 변화등)",,,식약처 DUR 병용금기
알프라졸람,이트라코나졸,5,"alprazolam의 혈장농도 증가, 수면 및 진정작용 증강 및 연장",,,식약처 DUR 병용금기
아토르바스타틴,케토코나졸,5,근육병증,,,식약처 DUR 병용금기
수마트립탄,에르고타민,5,혈압상승 및 맥각독성(말초혈관수축증가) 위험,,,식약처 DUR 병용금기
디히드로에르고타민,록시트로마이신,5,"맥각독성(혈관경련, 말단 및 기타조직 허혈)위험증가",,,식약처 DUR 병용금기
로바스타틴,이트라코나졸,5,횡문근융해증,,,식약처 DUR 병용금기
로바스타틴,케토코나졸,5,횡문근융해증을 비롯한 근육질환 등 중증 이상반응,,,식약처 DUR 병용금기
메토트렉세이트,아시트레틴,5,간 독성,,,식약처 DUR 병용금기
알프라졸람,케토코나졸,5,"alprazolam의 혈장농도 증가, 수면 및 진정작용 증강 및 연장",,,식약처 DUR 병용금기
부스피론,셀레길린염산염,5,혈압상승,,,식약처 DUR 병용금기
미졸라스틴,클래리트로마이신,5,심실부정맥(Torsade de pointes),,,식약처 DUR 병용금기
디히드로에르고타민,수마트립탄,5,"혈압 상승 및 에르고티즘(말초혈관수축 증가, 경련, 사지허혈) 위험 증가",,,식약처 DUR 병용금기
독시사이클린,이소트레티노인,5,두개내 고혈압,,,식약처 DUR 병용금기
알트레타민,피리독신,5,"피리독신은 신경독성을 현저하게 감소시켰으나 반응기간에는 역효과, 알트레타민의 치료효과 감소",,,식약처 DUR 병용금기
미졸라스틴,에리트로마이신,5,QT연장 등,,,식약처 DUR 병용금기
미노사이클린,이소트레티노인,5,테트라사이클린 가성뇌종양 보고,,,식약처 DUR 병용금기
이소트레티노인,테트라사이클린,5,테트라사이클린 가성뇌종양 보고,,,식약처 DUR 병용금기
옥시테트라사이클린,이소트레티노인,5,테트라사이클린 가성뇌종양 보고,,,식약처 DUR 병용금기
메트로니다졸,미졸라스틴,5,심실부정맥(Torsade de pointes),,,식약처 DUR 병용금기
미르타자핀,셀레길린염산염,5,"구역, 구토, 안면홍조, 어지러움, 진전, 산동, 강직, 발한, 고온증, 심장지표의 빠른 변화, 자율신경계의 불안정, 정신상태의 변화",,,식약처 DUR 병용금기
록시트로마이신,미졸라스틴,5,"말초혈관경련, 사지허혈, 감각이상등",,,식약처 DUR 병용금기
소타롤,아미오다론,5,심실부정맥(Torsade de pointes) 위험 증가,,,식약처 DUR 병용금기
아미오다론,에리트로마이신,5,심실부정맥(Torsade de pointes) 위험 증가,,,식약처 DUR 병용금기
아미오다론,펜타미딘,5,심실부정맥(Torsade de pointes) 위험 증가,,,식약처 DUR 병용금기
메토트렉세이트,아스피린,5,혈액학적 독성,,,식약처 DUR 병용금기
클래리트로마이신,피모짓,5,"pimozide의 혈중농도 상승, QT연장",,,식약처 DUR 병용금기
에리트로마이신,피모짓,5,QT연장 등,,,식약처 DUR 병용금기
에리트로마이신,클로람페니콜,5,병용을 하여도 항균작용이 증가되지 않음,,,식약처 DUR 병용금기
에리트로마이신,클린다마이신,5,병용을 하여도 항균작용이 증가되지 않음,,,식약처 DUR 병용금기
린코마이신,에리트로마이신,5,병용을 하여도 항균작용이 증가되지 않음,,,식약처 DUR 병용금기
