item_seq,product_name,search_name,ingredients,maker,image,interaction_text
195700020,활명수,활명수,,동화약품(주),,
195900034,신신티눈고(살리실산반창고)(수출명:SINSINCORNPLASTER),신신티눈고,,신신제약(주),,"메토트렉세이트, 설포닐우레아, 다른 국소 적용 약물과 함께 사용 시 의사 또는 약사와 상의하십시오."
195900043,아네모정,아네모,,삼진제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Pvn3im1f27,"위장진통ㆍ진경제, 테트라사이클린계 항생제와 함께 복용하지 마십시오."
197100015,타치온정50밀리그램(글루타티온(환원형)),타치온,글루타티온,동아제약(주),,
197400207,겔포스현탁액(인산알루미늄겔),겔포스,인산알루미늄겔,(주)보령,,테트라사이클린계 항생물질과 함께 사용하지 마십시오.
197700189,일양노이겔현탁액(규산알루민산마그네슘),일양노이,규산알루민산마그네슘,일양약품(주),,테트라사이클린계 항생제와 함께 복용 시 의사 또는 약사와 상의하십시오.
195900045,자모,자모,,씨에이치디제약주식회사,,"이 약을 복용하는 동안 다른 진해거담제, 감기약, 항히스타민제를 함유하는 내복약(비염용 경구제, 멀미약, 알레르기용약), 진정제 등을 복용하지 마십시오. MAO 억제제(항우울제, 항정신병제, 감정조절제, 항파킨슨제 등)를 복용하고 있거나 복용을 중단한 후 2주 이내의 사람은 이 약을 복용하지 마십시오. 복용시에는 음주하지 마십시오."
196000011,페니라민정(클로르페니라민말레산염),페니라민,클로르페니라민말레산염,(주)유한양행,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Orz9gcUHnw,"이 약을 복용하는 동안 MAO 억제제를 복용하지 마십시오. 알코올, 중추신경억제제, 페니토인을 함께 복용 시 의사 또는 약사와 상의하십시오."
197800242,일양노이시린에이정(규산알루민산마그네슘),일양노이시린에이,규산알루민산마그네슘,일양약품(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/148674126111200110,테트라사이클린계 항생제와 함께 복용 시 의사 또는 약사와 상의하십시오.
198401161,세나서트2밀리그람질정,세나서트2밀리그람질,,알보젠코리아(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F6EVc,
199100317,대한염화나트륨액,대한염화나트륨,,대한약품공업(주),,
199100655,옵타젠트점안액(포비돈),옵타젠트,포비돈,삼일제약(주),,
196200034,삐콤정,삐콤,,(주)유한양행,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/153495248483300010,레보도파와 함께 복용하지 마십시오.
196400046,게루삼정,게루삼,,삼남제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154307400984500104,테트라사이클린계 항생제와 함께 복용하지 마십시오.
