alias,canonical
와파린,와파린
와파린나트륨,와파린
와르파린,와파린
warfarin,와파린
쿠마딘,와파린
아스피린,아스피린
아세틸살리실산,아스피린
aspirin,아스피린
acetylsalicylic acid,아스피린
이부프로펜,이부프로펜
ibuprofen,이부프로펜
부루펜,이부프로펜
오메가3,오메가3
오메가-3,오메가3
omega 3,오메가3
EPA DHA,오메가3
피쉬오일,오메가3
은행잎추출물,은행잎추출물
징코빌로바,은행잎추출물
ginkgo biloba,은행잎추출물
기넥신,은행잎추출물
비타민K,비타민K
vitamin k,비타민K
필로퀴논,비타민K
세인트존스워트,세인트존스워트
성요한초,세인트존스워트
st johns wort,세인트존스워트
하이페리쿰,세인트존스워트
레보티록신,레보티록신
levothyroxine,레보티록신
씬지로이드,레보티록신
신지로이드,레보티록신
칼슘,칼슘
calcium,칼슘
탄산칼슘,칼슘
구연산칼슘,칼슘
철분,철분
iron,철분
황산철,철분
페로바,철분
훼럼,철분
마그네슘,마그네슘
magnesium,마그네슘
산화마그네슘,마그네슘
아연,아연
zinc,아연
구리,구리
copper,구리
시프로플록사신,시프로플록사신
ciprofloxacin,시프로플록사신
씨프로바이,시프로플록사신
독시사이클린,독시사이클린
doxycycline,독시사이클린
심바스타틴,심바스타틴
simvastatin,심바스타틴
조코,심바스타틴
이트라코나졸,이트라코나졸
itraconazole,이트라코나졸
클래리트로마이신,클래리트로마이신
클라리트로마이신,클래리트로마이신
clarithromycin,클래리트로마이신
니트로글리세린,니트로글리세린
nitroglycerin,니트로글리세린
실데나필,실데나필
sildenafil,실데나필
비아그라,실데나필
메토트렉세이트,메토트렉세이트
methotrexate,메토트렉세이트
에스시탈로프람,에스시탈로프람
escitalopram,에스시탈로프람
렉사프로,에스시탈로프람
트라마돌,트라마돌
tramadol,트라마돌
클로피도그렐,클로피도그렐
clopidogrel,클로피도그렐
플라빅스,클로피도그렐
오메프라졸,오메프라졸
omeprazole,오메프라졸
메트포르민,메트포르민
metformin,메트포르민
다이아벡스,메트포르민
조영제,조영제
아세트아미노펜,아세트아미노펜
acetaminophen,아세트아미노펜
파라세타몰,아세트아미노펜
타이레놀,아세트아미노펜
비타민C,비타민C
아스코르브산,비타민C
vitamin c,비타민C
비타민D,비타민D
콜레칼시페롤,비타민D
vitamin d,비타민D
프로바이오틱스,프로바이오틱스
유산균,프로바이오틱스
